org_key,year,event_key,team_key,driverYearsOnDriveTeam,humanPlayerYearsOnDriveTeam,coachYearsOnDriveTeam,driveBaseMultiSelect,DrivetrainQuality,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,driveCenterOfGravity,electricalWiring,mechanicalQuality,canPickupCoralGround,canPickupAlgaeground,canPickupCoralFeedstation,canPickupAlgaeReef,scoreL1,scoreL2,scoreL3,scoreL4,scoreProcessor,scoreNet,usualStrategy,StartProcess,StartCenter,StartFar,describeAuto,CageClimb,comments
steelcity,2025,2025paca,frc3484,"0","0","10","SDS MK4 LT2","2","28","28","36","113.1","Middle (Kinda Top Heavy)","2","2","0","1","1","1","1","1","1","1","1","0","Coral focused","1","1","1","","Shallow","C++"
steelcity,2025,2025paca,frc3492,"1","2","10","SDS MK4 LT3","1","27","29","41.75","109","Low (Not top heavy)","1.5","1","0","0","1","0","1","1","1","1","0","0","Cycling many corals cycle time 12-14 per match.","1","1","1","Score L4, feed coral, Score that coral on L2.","Park","Language: Java"
steelcity,2025,2025paca,frc3504,"1","3","2","SDS MK4 LT3","","28 ","28","31.5","100","Low (Not top heavy)","1 ","1","0","0","1","1","1","1","1","1","1","0","Sore a coral then algae and then repeat","0","1","0","L1","Park",""
steelcity,2025,2025paca,frc3539,"2","2","4","WCP Swerve X","1","29","29","41.5","114.2","Middle (Kinda Top Heavy)","1","1","1","1","1","1","1","1","1","1","1","1","Fill out reef with coral then climb","1","0","1","3 piece auto for coral.","Deep","Java for programming "
steelcity,2025,2025paca,frc3984,"4","3","6","SDS MK4 LT2","","29.5","29.5","39in roughly","115","Middle (Kinda Top Heavy)","3","2","0","0","1","0","1","1","1","1","0","0","Only coral","1","1","1","Getting as much coral as possible during this phase","Deep","Two drivers, one for the drive train and one for the elevator function"
steelcity,2025,2025paca,frc4027,"2","2","2","WCP Swerve X","","29","29","42","115","Low (Not top heavy)","2","1","0","0","1","1","1","1","1","1","1","1","Coral","1","1","1","?","Deep","Java"
steelcity,2025,2025paca,frc4050,"3","1","3","Mechanum","","30","28.55","42","~130","Middle (Kinda Top Heavy)","1","1","0","0","1","1","0","1","1","1","1","0"," L4 first, fill in the rest where needed","1","1","1","taxi, L/K L4, drive away","Deep","Java"
steelcity,2025,2025paca,frc4121,"2","1","1","SDS MK4 LT2","1","30","30","41.75","114.8","Middle (Kinda Top Heavy)","1","1","0","0","1","1","1","1","1","1","1","1","Split lanes on field and robot getting algae from processor.","1","1","1","One that scores one L4. A few that taxi to different locations","Deep","Language: Java"
steelcity,2025,2025paca,frc4122,"2","2","2","SDS MK4 LT3","1","32","27","41","110","Middle (Kinda Top Heavy)","2","1","0","1","1","1","1","1","1","1","1","1","Score as many L4, clean reef and score algae in net","1","1","1","On sides score 2 and load one, in center score one L4 and one algae in processor","Deep","Language-Java"
steelcity,2025,2025paca,frc4145,"2","1","4","Custom - See Notes","1","27","27","41.75","109","Middle (Kinda Top Heavy)","1","1","0","0","1","1","1","1","1","1","1","1","Coral mainly but algae for co-op","1","1","1","One piece l4 middle2 l4 piece either side","Deep","Mark 4 n L3 +Java"
steelcity,2025,2025paca,frc4150,"3","2","2","SDS MK4 LT2","2","27”","33”","41 1/2”","114.7 lbs","Low (Not top heavy)","3","2","1","0","0","0","1","1","1","1","0","0","Scoring L2 and L3 and grabbing algae from reef","1","0","0","Drive out and score l4 ","Deep",""
steelcity,2025,2025paca,frc4269,"1","0","1","SDS MK4 LT1","1","29.5","29.5","42","~108","Middle (Kinda Top Heavy)","1","2","0","0","1","1","1","1","1","1","1","0","Maximize points, L4","0","0","0","Move forward","Park","Java"
steelcity,2025,2025paca,frc4467,"5","3","2","SDS MK4 LT2","3","29.5","30","41.75","114.9","Low (Not top heavy)","2","3","1","0","1","1","1","1","1","1","1","1","Maximize ranking points","1","1","1","2 piece L4","Deep","Java"
steelcity,2025,2025paca,frc4601,"1","1","1","SDS MK4 LT3","1","29","29","41","107","Middle (Kinda Top Heavy)","2","1.5","0","0","1","1","1","1","1","0","1","0","Take algae off, put coral on","0","1","0","N/A","Park","Language-Java"
steelcity,2025,2025paca,frc4991,"3","0","4","Rev Swerve","","25 no bumpers","25","41.4","114.4","Low (Not top heavy)","","","0","1","1","1","1","1","1","1","1","0","Versatile or top level scoring","1","1","1","Score on l4 grab another coral","Park","Java"
steelcity,2025,2025paca,frc5413,"4","1","6","Rev Swerve","1","29","30","41","112.6","Low (Not top heavy)","2","1","0","0","1","1","1","1","1","1","1","0","High coral work way down ","0","1","1","Leave / leave scare l4/ 2 peice coral ","Deep",""
steelcity,2025,2025paca,frc5667,"1","1","2","SDS MK4 LT3","1","28","28","39.75","113","Middle (Kinda Top Heavy)","2","2","1","0","1","0","1","1","1","1","1","1","Offensive coral","1","1","1","Moving off start","Deep","Deep climb is untested, will be corrected later on"
steelcity,2025,2025paca,frc5740,"1","1","10","SDS MK4 LT4","","28.5","30","?","112","Low (Not top heavy)","","","0","1","1","1","0","1","1","1","1","0","both algae cleanup or coral","0","0","0","","Deep","JavaDid not finish (robot or programming team wasn't present)"
steelcity,2025,2025paca,frc6834,"4","3","4","SDS MK4 LT2","","25","30","41","103","Low (Not top heavy)","1","1","0","1","1","0","1","1","1","1","1","0","Coral","1","1","1","Taxi, score coral, pick up algae and score processor","Shallow","Java"
steelcity,2025,2025paca,frc7274,"2","1","3","Kitbot Chassis  AM14U","2","32.5","27","42","68","Low (Not top heavy)","2.3","1.2","1","1","0","0","1","0","0","0","1","0","Score coral and 2 algae for coop point","1","1","1","Taxi","Deep","Language-C++"
steelcity,2025,2025paca,frc7497,"2","1","2","WCP Swerve X","1","30","30","41.3","101","Middle (Kinda Top Heavy)","3","1","0","0","1","0","1","1","1","0","1","0","Get as much of the sub L4 on the reef cycle time 8-10 secs","1","1","1","L1 score ","Park","Language-Java"
steelcity,2025,2025paca,frc7515,"2","1","4","SDS MK4 LT2","1","28","31","41","113","Middle (Kinda Top Heavy)","2","3","0","0","1","1","0","1","1","1","0","0","Score as many L4 as possible","1","1","1","","Shallow","Java"
steelcity,2025,2025paca,frc8705,"3","1","1","Kitbot Chassis  AM14U","1","32.5”","24”","N/A","N/A","Middle (Kinda Top Heavy)","2","1","0","1","0","1","1","0","0","0","1","0","2 coral in trough","0","1","0","Leave and and score coral in trough","Deep",""
steelcity,2025,2025paca,frc9004,"0","0","2","Kitbot Chassis  AM14U","1","Standard kitbot","^^^","^^^","^^^","Low (Not top heavy)","3","1","0","0","1","0","1","0","0","0","0","0","L1 or defensive","0","0","0","Move forward","Park","Java"
steelcity,2025,2025paca,frc9022,"3","3","5","Custom - See Notes","3","24","24","42","104","Low (Not top heavy)","2","4","0","1","1","1","1","1","1","1","0","0","Didn't know","1","1","1","Didn't know","Deep","Neo swerveJava"
steelcity,2025,2025paca,frc9194,"1","1","2","Rev Swerve","1","45","45","42.5","82","Middle (Kinda Top Heavy)","2","1","0","0","1","1","0","1","1","1","1","1","Shoot either coral or algae. Park.","1","1","1","Taxi.","Park","Language: Java"
steelcity,2025,2025paca,frc9415,"2","2","2","Kitbot Chassis  AM14U","1","26.5 no bumpers","33","38","68","Low (Not top heavy)","1","1","0","0","1","0","1","0","0","0","0","0","Defense reinforced for defense","0","0","0","Possibly move forward","Park","Java"
steelcity,2025,2025paca,frc9475,"4","2","2","Kitbot Chassis  AM14U","1","32","27","36","N/A","Middle (Kinda Top Heavy)","1","3","0","0","1","0","1","0","0","0","0","0","Fill out L1","1","1","1","Leave auto","Deep","JavaMember talked to was not there for inspection "
steelcity,2025,2025paca,frc9767,"1","0","1","Custom Swerve","1","28","32","3,6","111","Low (Not top heavy)","2","2","0","1","0","1","0","0","0","0","1","0","Mixed strategy","0","0","0","Moving forward ","Deep","Lacks an elevator, drivers seem inexperienced "
steelcity,2025,2025paca,frc10207,"0","0","0","Kitbot Chassis  AM14U","","30","30","36","96.7","Low (Not top heavy)","","","0","1","1","0","1","0","0","0","1","0","L1 and processor","1","1","1","Left or right taxi and center taxi with l1 coral","Deep","Java script"
steelcity,2025,2025paca,frc10208,"1","1","1","Kitbot Chassis  AM14U","","30","20","22","85","Low (Not top heavy)","","","0","1","0","0","0","0","0","0","1","1","algae and defense","1","1","1","taxi","Deep","lab view"
steelcity,2025,2025paca,frc10512,"1","2","0","Kitbot Chassis  AM14U","1","","","42","95","Low (Not top heavy)","3","2","0","0","1","0","1","0","0","0","0","0","L1","0","1","0","Score L1","Park","Still working on auto, no defined drive team, part of one group running 3 teams"
steelcity,2025,2025paca,frc10513,"1","2","0","Kitbot Chassis  AM14U","1","","","","","Low (Not top heavy)","2","3","0","0","1","0","1","0","0","0","1","0","L1","0","1","0","Score L1","Park","Same drive team and issues as 10512, mostly the same, however, it has an algae “kicker” to score in processor"
steelcity,2025,2025paca,frc10515,"1","2","1","SDS MK4 LT3","1","26”","26”","34” aprox","112lbs","Low (Not top heavy)","1","1","0","1","1","0","1","0","0","0","1","0","Defense/ coral cycle","1","1","1","3 peice from side, 1 from center","Deep",""
steelcity,2025,2025paca,frc10516,"0","0","0","Kitbot Chassis  AM14U","1","","","","","Low (Not top heavy)","2","1","0","0","1","0","1","0","0","0","1","0","Whatever works","0","0","0","Moves forward","Park","JavaMight get a climber"
steelcity,2025,2025paca,frc10582,"1","1","1","Rev Swerve","2","25","25","42","N/a","Low (Not top heavy)","4","4","0","1","1","0","0","1","0","1","1","0","N/a","1","1","1","N/a","Park","Java"
