Scouter Initials,Match Number,Robot,Team Number,Starting Position,No Show,Moved?,Timer,Offense Skill,Defense Skill,Died/Tipped Over,Yellow/Red Card,End Position,Comments,Coral L1 Auto,Coral L1 Teleop,Coral L2 Auto,Coral L2 Teleop,Coral L3 Auto,Coral L3 Teleop,Coral L4 Auto,Coral L4 Teleop,Algae in Net Auto,Algae in Net Teleop,Algae in Processor Auto,Algae in Processor Teleop
CD,15,Red 2,1783,Shallow,TRUE,TRUE,113.71,3,Average,FALSE,No Card,Park,Good match,2,2,4,4,4,4,0,0,2,2,10,10
IJ,15,Red 3,9895,Deep,FALSE,FALSE,126.66,4,Average,TRUE,Red Card,Deep,Good match,5,5,1,1,4,4,4,4,0,0,7,7
AB,15,Blue 1,5750,Park,TRUE,FALSE,46.02,3,Not Observed,FALSE,Yellow Card,Deep,Good match,5,5,2,2,1,1,5,5,6,6,7,7
AB,15,Blue 2,8708,Shallow,TRUE,TRUE,4.56,2,Poor,TRUE,Yellow Card,Park,Robot stalled,1,1,1,1,1,1,5,5,5,5,1,1
AB,15,Blue 3,7283,Shallow,TRUE,FALSE,149.28,1,Poor,FALSE,Yellow Card,Shallow,Good match,3,3,1,1,1,1,5,5,3,3,4,4
CD,16,Red 1,8708,Deep,FALSE,FALSE,5.89,1,Poor,FALSE,Yellow Card,Shallow,Issues with scoring,4,4,1,1,1,1,3,3,5,5,3,3
AB,16,Red 2,6354,Shallow,TRUE,FALSE,38.92,3,Poor,TRUE,Yellow Card,Park,Robot stalled,5,5,0,0,5,5,5,5,10,10,9,9
GH,16,Red 3,8219,Shallow,FALSE,FALSE,6.53,1,Excellent,FALSE,Red Card,Deep,,2,2,0,0,2,2,2,2,9,9,6,6
EF,16,Blue 1,2955,Shallow,FALSE,TRUE,52.33,1,Good,FALSE,No Card,Shallow,Good match,3,3,5,5,1,1,4,4,9,9,7,7
AB,16,Blue 2,7283,Deep,TRUE,TRUE,110.85,3,Not Observed,TRUE,Red Card,None,,3,3,0,0,1,1,5,5,7,7,0,0
EF,16,Blue 3,5743,Shallow,TRUE,FALSE,138.47,3,Not Observed,TRUE,No Card,None,Good match,5,5,4,4,0,0,1,1,6,6,7,7
IJ,17,Red 1,1783,Park,FALSE,TRUE,41.65,3,Not Observed,FALSE,No Card,Deep,Issues with scoring,5,5,5,5,3,3,1,1,5,5,3,3
EF,17,Red 2,1015,Park,FALSE,FALSE,112.9,2,Not Observed,FALSE,Yellow Card,None,Robot stalled,1,1,4,4,1,1,3,3,5,5,3,3
AB,17,Red 3,2955,Park,FALSE,TRUE,85.35,3,Average,FALSE,No Card,Shallow,Issues with scoring,2,2,5,5,5,5,2,2,6,6,5,5
IJ,17,Blue 1,6354,Deep,TRUE,FALSE,101.07,5,Not Observed,TRUE,Red Card,None,Robot stalled,1,1,5,5,0,0,5,5,8,8,8,8
EF,17,Blue 2,1670,Deep,FALSE,FALSE,89.17,4,Excellent,FALSE,No Card,None,Issues with scoring,1,1,5,5,0,0,0,0,9,9,9,9
AB,17,Blue 3,5743,Shallow,FALSE,TRUE,136.72,2,Not Observed,FALSE,Red Card,Deep,Robot stalled,1,1,2,2,5,5,4,4,4,4,1,1
IJ,18,Red 1,5435,Shallow,FALSE,FALSE,65.84,3,Not Observed,TRUE,No Card,None,,2,2,1,1,0,0,5,5,7,7,1,1
EF,18,Red 2,1670,Shallow,FALSE,FALSE,18.24,3,Average,TRUE,Yellow Card,Park,Good match,5,5,5,5,4,4,0,0,0,0,10,10
AB,18,Red 3,8708,Park,TRUE,TRUE,47.32,3,Average,FALSE,Yellow Card,Park,Issues with scoring,3,3,4,4,0,0,3,3,7,7,6,6
IJ,18,Blue 1,2955,Shallow,FALSE,FALSE,114.86,4,Poor,FALSE,No Card,Park,Robot stalled,1,1,3,3,4,4,0,0,3,3,9,9
EF,18,Blue 2,6354,Deep,FALSE,FALSE,77,3,Average,TRUE,Yellow Card,Park,Good match,1,1,1,1,4,4,4,4,3,3,6,6
AB,18,Blue 3,8219,Deep,FALSE,TRUE,9.81,5,Poor,FALSE,No Card,None,Good match,5,5,3,3,2,2,0,0,5,5,2,2
CD,19,Red 1,8219,Park,TRUE,TRUE,67.01,4,Good,TRUE,No Card,None,Robot stalled,0,0,3,3,1,1,4,4,3,3,8,8
EF,19,Red 2,1783,Park,TRUE,FALSE,43.83,5,Poor,FALSE,Red Card,Deep,,5,5,0,0,4,4,5,5,6,6,8,8
IJ,19,Red 3,5750,Park,FALSE,TRUE,147.68,1,Poor,TRUE,No Card,Park,,1,1,3,3,4,4,2,2,2,2,2,2
CD,19,Blue 1,1015,Shallow,FALSE,FALSE,49.97,2,Average,FALSE,Red Card,Park,Robot stalled,3,3,4,4,2,2,2,2,4,4,9,9
CD,19,Blue 2,7283,Park,TRUE,TRUE,133.82,3,Average,FALSE,Yellow Card,Shallow,Good match,1,1,4,4,5,5,3,3,1,1,3,3
AB,19,Blue 3,2955,Park,TRUE,FALSE,37.87,4,Excellent,TRUE,No Card,Park,Issues with scoring,4,4,1,1,3,3,4,4,6,6,5,5
AB,20,Red 1,8708,Deep,FALSE,FALSE,29.69,4,Not Observed,TRUE,Red Card,None,Robot stalled,2,2,4,4,4,4,2,2,2,2,7,7
AB,20,Red 2,9895,Park,FALSE,FALSE,145.94,5,Poor,TRUE,Red Card,Shallow,Issues with scoring,1,1,4,4,4,4,4,4,3,3,4,4
IJ,20,Red 3,5750,Shallow,FALSE,FALSE,63.69,1,Not Observed,TRUE,Yellow Card,Deep,Good match,2,2,4,4,5,5,0,0,3,3,9,9
IJ,20,Blue 1,5743,Deep,FALSE,TRUE,102.67,1,Excellent,FALSE,Yellow Card,Park,Robot stalled,4,4,4,4,3,3,5,5,8,8,8,8
IJ,20,Blue 2,1670,Park,FALSE,TRUE,55.43,2,Excellent,TRUE,Red Card,None,,0,0,4,4,0,0,0,0,5,5,6,6
IJ,20,Blue 3,8219,Deep,TRUE,TRUE,105.66,5,Excellent,FALSE,Yellow Card,Deep,Issues with scoring,1,1,3,3,2,2,3,3,6,6,5,5
CD,21,Red 1,8708,Deep,FALSE,FALSE,97.66,1,Excellent,TRUE,Red Card,Shallow,Good match,5,5,3,3,0,0,4,4,5,5,6,6
GH,21,Red 2,1015,Shallow,TRUE,FALSE,75.38,3,Average,FALSE,Red Card,Park,,5,5,2,2,1,1,3,3,9,9,6,6
IJ,21,Red 3,8219,Park,TRUE,FALSE,58.6,5,Excellent,FALSE,Red Card,Park,,5,5,0,0,3,3,5,5,5,5,0,0
EF,21,Blue 1,7283,Shallow,TRUE,TRUE,51.4,5,Average,FALSE,Yellow Card,Shallow,Good match,5,5,4,4,3,3,2,2,6,6,9,9
AB,21,Blue 2,9895,Park,FALSE,TRUE,62.72,2,Average,TRUE,Red Card,Deep,Good match,4,4,2,2,3,3,4,4,9,9,8,8
EF,21,Blue 3,5435,Park,FALSE,TRUE,113.46,3,Excellent,TRUE,Red Card,Park,Good match,3,3,2,2,0,0,1,1,7,7,8,8
CD,22,Red 1,8708,Shallow,TRUE,TRUE,147.05,5,Average,TRUE,Red Card,None,Issues with scoring,2,2,2,2,4,4,0,0,1,1,9,9
GH,22,Red 2,1015,Park,TRUE,TRUE,113.6,1,Good,FALSE,No Card,Deep,Robot stalled,2,2,3,3,2,2,2,2,4,4,5,5
CD,22,Red 3,5743,Park,TRUE,TRUE,35.77,1,Not Observed,TRUE,Red Card,Park,Good match,5,5,3,3,1,1,5,5,3,3,4,4
CD,22,Blue 1,5435,Deep,TRUE,FALSE,88.07,4,Good,FALSE,Red Card,Shallow,Robot stalled,3,3,4,4,5,5,0,0,5,5,6,6
CD,22,Blue 2,5750,Shallow,FALSE,TRUE,134.18,2,Not Observed,FALSE,No Card,Shallow,Issues with scoring,0,0,4,4,1,1,4,4,4,4,7,7
CD,22,Blue 3,8219,Park,TRUE,FALSE,114.71,3,Excellent,FALSE,Yellow Card,Deep,,4,4,4,4,4,4,4,4,6,6,2,2
IJ,23,Red 1,1670,Shallow,TRUE,TRUE,148.5,3,Poor,TRUE,No Card,Shallow,Good match,3,3,2,2,1,1,0,0,5,5,3,3
IJ,23,Red 2,1783,Park,TRUE,TRUE,12.3,5,Average,TRUE,Red Card,Shallow,Robot stalled,4,4,5,5,0,0,4,4,4,4,2,2
IJ,23,Red 3,8708,Shallow,TRUE,FALSE,30.25,3,Poor,FALSE,Yellow Card,Shallow,Robot stalled,5,5,0,0,3,3,5,5,2,2,3,3
CD,23,Blue 1,7283,Park,TRUE,TRUE,113.29,5,Good,FALSE,Red Card,Deep,Robot stalled,0,0,4,4,2,2,3,3,9,9,5,5
IJ,23,Blue 2,5435,Park,FALSE,FALSE,117.14,1,Not Observed,TRUE,No Card,Park,Good match,4,4,5,5,2,2,5,5,5,5,8,8
GH,23,Blue 3,6354,Deep,TRUE,TRUE,126.41,2,Average,FALSE,Yellow Card,Shallow,Robot stalled,1,1,5,5,3,3,1,1,7,7,2,2
EF,24,Red 1,1015,Deep,TRUE,TRUE,9.87,1,Average,FALSE,Red Card,Park,Robot stalled,5,5,4,4,5,5,0,0,3,3,4,4
GH,24,Red 2,8219,Deep,FALSE,FALSE,45.22,5,Good,FALSE,No Card,Deep,Good match,5,5,1,1,2,2,3,3,8,8,1,1
AB,24,Red 3,2955,Shallow,FALSE,FALSE,33.86,4,Not Observed,TRUE,Yellow Card,Shallow,Good match,3,3,0,0,1,1,0,0,5,5,9,9
AB,24,Blue 1,1783,Park,TRUE,FALSE,129.45,2,Average,TRUE,Yellow Card,None,,5,5,3,3,2,2,3,3,9,9,0,0
EF,24,Blue 2,5743,Shallow,FALSE,FALSE,82.43,5,Average,FALSE,No Card,Deep,Issues with scoring,5,5,0,0,0,0,4,4,2,2,10,10
GH,24,Blue 3,5435,Shallow,FALSE,TRUE,111.89,1,Average,FALSE,No Card,Deep,Issues with scoring,3,3,5,5,4,4,4,4,2,2,5,5
AB,25,Red 1,5435,Shallow,FALSE,TRUE,25.36,1,Excellent,FALSE,Yellow Card,None,Issues with scoring,3,3,0,0,5,5,5,5,4,4,7,7
IJ,25,Red 2,9895,Shallow,TRUE,FALSE,94.45,5,Not Observed,FALSE,No Card,Park,,2,2,0,0,2,2,0,0,8,8,0,0
CD,25,Red 3,7283,Deep,FALSE,FALSE,60.24,3,Not Observed,FALSE,Yellow Card,Deep,Robot stalled,0,0,3,3,2,2,1,1,10,10,3,3
CD,25,Blue 1,1670,Deep,FALSE,TRUE,114.01,2,Average,TRUE,Red Card,Park,Issues with scoring,4,4,4,4,5,5,2,2,3,3,5,5
CD,25,Blue 2,5750,Deep,TRUE,FALSE,139.83,3,Excellent,TRUE,Yellow Card,Park,Good match,2,2,2,2,4,4,3,3,7,7,4,4
AB,25,Blue 3,1015,Shallow,FALSE,TRUE,108.66,3,Poor,FALSE,No Card,Shallow,Issues with scoring,3,3,2,2,5,5,1,1,9,9,4,4
GH,26,Red 1,1015,Deep,TRUE,TRUE,95.79,5,Poor,TRUE,No Card,None,Good match,4,4,5,5,4,4,1,1,8,8,6,6
CD,26,Red 2,5750,Deep,FALSE,TRUE,35.39,2,Average,TRUE,Red Card,None,Issues with scoring,4,4,2,2,3,3,1,1,8,8,4,4
IJ,26,Red 3,8708,Shallow,FALSE,TRUE,121.78,3,Good,FALSE,Yellow Card,Shallow,Issues with scoring,2,2,3,3,0,0,2,2,4,4,9,9
EF,26,Blue 1,7283,Park,TRUE,FALSE,140.57,5,Excellent,FALSE,Yellow Card,Shallow,,4,4,1,1,1,1,0,0,6,6,6,6
EF,26,Blue 2,9895,Deep,FALSE,FALSE,38.22,5,Average,TRUE,Yellow Card,Deep,Good match,1,1,4,4,2,2,0,0,6,6,6,6
IJ,26,Blue 3,6354,Deep,FALSE,FALSE,24.96,4,Excellent,FALSE,Red Card,None,Robot stalled,4,4,1,1,0,0,0,0,1,1,10,10
EF,27,Red 1,1670,Park,FALSE,TRUE,54.14,1,Excellent,FALSE,No Card,Park,Robot stalled,4,4,5,5,1,1,5,5,1,1,10,10
GH,27,Red 2,7283,Shallow,TRUE,TRUE,72.06,2,Average,TRUE,Yellow Card,Deep,Robot stalled,4,4,3,3,2,2,0,0,0,0,5,5
AB,27,Red 3,8219,Deep,TRUE,TRUE,19.51,1,Not Observed,FALSE,Red Card,Shallow,Robot stalled,3,3,0,0,0,0,2,2,2,2,8,8
EF,27,Blue 1,2955,Shallow,TRUE,TRUE,128.8,2,Poor,FALSE,No Card,Deep,Good match,2,2,1,1,5,5,5,5,8,8,7,7
AB,27,Blue 2,9895,Shallow,TRUE,FALSE,90.57,2,Good,TRUE,No Card,None,,5,5,1,1,4,4,1,1,3,3,2,2
IJ,27,Blue 3,6354,Deep,FALSE,TRUE,33.99,3,Not Observed,TRUE,No Card,Shallow,Issues with scoring,5,5,5,5,1,1,2,2,2,2,7,7
EF,28,Red 1,5435,Deep,FALSE,FALSE,149.03,2,Not Observed,FALSE,Red Card,Park,Good match,1,1,1,1,0,0,4,4,0,0,1,1
IJ,28,Red 2,6354,Shallow,TRUE,TRUE,1.18,2,Good,FALSE,Red Card,Deep,Good match,3,3,4,4,4,4,4,4,1,1,0,0
CD,28,Red 3,1783,Park,FALSE,FALSE,100.39,3,Excellent,TRUE,Yellow Card,None,Good match,2,2,3,3,3,3,1,1,0,0,7,7
IJ,28,Blue 1,5743,Shallow,TRUE,FALSE,59.23,4,Not Observed,FALSE,No Card,Shallow,Good match,1,1,4,4,2,2,5,5,0,0,2,2
AB,28,Blue 2,2955,Park,TRUE,FALSE,43.48,4,Not Observed,FALSE,Yellow Card,None,Robot stalled,5,5,4,4,2,2,0,0,0,0,10,10
GH,28,Blue 3,5750,Deep,TRUE,TRUE,102.67,3,Excellent,FALSE,Yellow Card,Park,Good match,3,3,2,2,0,0,3,3,4,4,10,10
